mass [g],459,eprSpeed [mVps],500
time,eprVin,distance,
0,0,115,
1,1251,0,
2,0,112,
3,7,110,
4,19,112,
6,31,111,
7,43,108,
8,55,104,
9,67,103,
10,79,101,
11,91,99,
11,104,100,
11,117,98,
12,129,99,
13,141,101,
14,153,99,
15,165,99,
16,177,101,
17,189,98,
18,201,99,
19,213,101,
20,225,99,
21,237,99,
21,250,102,
21,263,101,
22,275,97,
23,287,95,
23,300,102,
23,313,99,
24,325,101,
25,337,98,
26,349,100,
27,361,99,
28,373,101,
29,385,95,
30,397,99,
30,409,100,
30,421,101,
31,433,99,
32,445,98,
33,457,97,
33,469,99,
33,482,96,
34,495,101,
35,507,99,
36,519,99,
37,531,99,
38,543,101,
39,555,101,
40,567,99,
41,579,101,
41,592,99,
42,604,100,
43,616,104,
44,628,102,
44,641,100,
45,654,102,
46,666,104,
47,678,101,
47,690,106,
49,702,106,
50,714,102,
51,726,106,
52,738,108,
53,750,104,
54,762,105,
55,774,105,
56,786,108,
57,798,106,
58,810,109,
58,823,108,
58,836,108,
59,848,106,
60,860,109,
60,873,105,
60,886,108,
61,898,107,
62,910,111,
63,922,107,
64,934,111,
65,946,110,
66,958,109,
66,971,108,
66,984,108,
67,996,110,
68,1008,108,
69,1020,111,
70,1032,110,
71,1044,111,
72,1056,110,
73,1068,112,
73,1081,110,
74,1093,112,
75,1105,112,
75,1118,109,
76,1131,111,
77,1143,112,
78,1155,111,
79,1167,112,
79,1180,112,
80,1192,112,
81,1204,112,
81,1217,113,
82,1230,115,
83,1242,114,
83,1254,115,
84,1267,116,
85,1279,118,
86,1291,114,
87,1303,111,
87,1316,117,
88,1328,115,
89,1340,113,
89,1353,115,
90,1366,113,
91,1378,112,
92,1390,117,
93,1402,115,
94,1414,116,
95,1426,114,
96,1438,115,
97,1450,114,
97,1463,116,
98,1476,116,
99,1488,113,
100,1500,114,
101,1512,117,
103,1524,117,
104,1536,118,
105,1548,116,
105,1561,117,
107,1573,115,
108,1585,115,
108,1597,114,
109,1610,119,
110,1622,114,
111,1634,116,
112,1646,115,
113,1658,115,
114,1670,117,
115,1682,114,
115,1695,117,
116,1708,118,
117,1720,117,
117,1732,119,
118,1745,118,
119,1757,117,
120,1769,117,
121,1781,116,
121,1794,121,
122,1807,119,
123,1818,119,
123,1831,117,
124,1844,115,
125,1856,119,
126,1868,118,
127,1880,117,
128,1892,119,
129,1904,119,
130,1916,117,
130,1929,117,
131,1942,117,
132,1954,118,
133,1966,118,
134,1978,120,
135,1990,118,
136,2002,119,
137,2014,119,
137,2027,121,
137,2040,120,
138,2052,117,
138,2064,117,
139,2077,122,
140,2089,121,
141,2101,118,
142,2113,118,
143,2125,120,
143,2138,117,
144,2150,119,
144,2162,121,
145,2175,119,
146,2187,119,
147,2199,119,
148,2211,118,
149,2223,119,
150,2235,121,
151,2247,119,
152,2259,121,
152,2272,118,
153,2285,118,
153,2297,121,
154,2309,117,
155,2321,117,
156,2333,117,
157,2345,120,
158,2357,120,
158,2370,119,
159,2382,119,
159,2395,119,
160,2407,120,
161,2419,119,
162,2431,121,
164,2443,120,
165,2455,120,
166,2467,119,
167,2479,118,
167,2491,120,
168,2503,120,
169,2515,117,
169,2528,118,
170,2540,120,
171,2552,118,
172,2564,119,
173,2576,119,
174,2588,119,
175,2600,120,
176,2612,119,
176,2625,119,
177,2637,119,
178,2649,118,
178,2662,121,
179,2675,120,
180,2687,120,
181,2699,121,
182,2711,119,
183,2723,122,
184,2735,118,
185,2747,123,
185,2760,122,
186,2773,121,
187,2784,122,
187,2797,121,
188,2810,121,
189,2822,121,
190,2834,120,
191,2846,121,
192,2858,120,
193,2870,120,
194,2882,122,
194,2895,119,
195,2907,122,
196,2919,121,
196,2931,121,
197,2944,119,
198,2956,120,
199,2968,121,
200,2980,122,
201,2992,120,
202,3004,120,
203,3016,119,
204,3028,122,
205,3040,121,
205,3053,121,
205,3066,120,
206,3078,123,
206,3090,119,
207,3103,118,
208,3115,120,
209,3127,121,
210,3139,119,
211,3151,119,
213,3163,121,
214,3175,117,
214,3188,119,
